"","ID","CHR","MAPINFO","Strand","UCSC_RefGene_Name","UCSC_RefGene_Accession","UCSC_RefGene_Group","UCSC_CpG_Islands_Name","Relation_to_UCSC_CpG_Island","GencodeBasicV12_NAME","GencodeBasicV12_Accession","GencodeBasicV12_Group","GencodeCompV12_NAME","GencodeCompV12_Accession","GencodeCompV12_Group","DNase_Hypersensitivity_NAME","DNase_Hypersensitivity_Evidence_Count","OpenChromatin_NAME","OpenChromatin_Evidence_Count","TFBS_NAME","TFBS_Evidence_Count","Phantom4_Enhancers","Phantom5_Enhancers","custom_Name","custom_Accession","custom_Group"
"16","cg22804805","7",150765472,"R","SLC4A2","NM_003040","Body","","","","","","","","","chr7:150765245-150765575",3,"",NA,"",NA,"","","SLC4A2","NM_003040","Body"
"17","cg13601997","9",129376185,"F","LMX1B","NM_002316","TSS1500","chr9:129372737-129378106","Island","RP11-123K19.1","ENST00000432418.1","TSS1500","RP11-123K19.1","ENST00000432418.1","TSS1500","chr9:129376060-129377975",3,"",NA,"",NA,"high-CpG:128415981-128416240","","LMX1B","NM_002316","TSS1500"
"18","cg13563391","6",11795926,"F","","","","","","","","","ADTRP","ENST00000379415.2","5'UTR","chr6:11795745-11796010",3,"",NA,"",NA,"","","ADTRP","ENST00000379415.2","5'UTR"
"19","cg00401797","1",3315193,"R","PRDM16","NM_022114","Body","","","","","","","","","",NA,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"20","cg03100593","19",55496450,"F","NLRP2","NM_017852","Body","chr19:55494229-55494535","S_Shore","","","","NLRP2","ENST00000540005.1","5'UTR","chr19:55496165-55496755",3,"",NA,"",NA,"","","NLRP2","NM_017852","Body"
"21","cg20083839","20",57485940,"F","GNAS","NM_001077488","3'UTR","","","GNAS","ENST00000306090.10","3'UTR","GNAS","ENST00000476196.1","5'UTR","",NA,"",NA,"chr20:57480938-57488441",6,"","","GNAS","NM_001077488","3'UTR"
"22","cg22741626","20",57463265,"F","GNAS","NM_001077490","3'UTR","chr20:57463652-57467739","N_Shore","GNAS","ENST00000371098.2","3'UTR","GNAS","ENST00000464960.1","TSS1500","chr20:57463225-57463495",3,"",NA,"",NA,"","","GNAS","NM_001077490","3'UTR"
"23","cg21369350","8",140705510,"F","KCNK9","NR_104210","Body","","","","","","","","","chr8:140705325-140705575",3,"",NA,"",NA,"","","KCNK9","NR_104210","Body"
"24","cg21620107","8",1614053,"R","DLGAP2","NM_004745","Body","chr8:1616521-1616876","N_Shelf","","","","","","","",NA,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"25","cg00028598","15",27128633,"F","GABRA5","NM_001165037","Body","chr15:27128249-27128935","Island","GABRA5","ENST00000557449.1","5'UTR","GABRA5","ENST00000557449.1","5'UTR","chr15:27128605-27128995",3,"",NA,"",NA,"","","GABRA5","NM_001165037","Body"
"26","cg01418188","11",3145609,"F","OSBPL5","NM_020896","Body","chr11:3141642-3141877","S_Shelf","OSBPL5","ENST00000357352.4","5'UTR","OSBPL5","ENST00000534491.1","3'UTR","chr11:3145505-3145715",3,"",NA,"",NA,"","","OSBPL5","NM_020896","Body"
"27","cg01175550","7",27147206,"R","HOXA3","NM_153631","3'UTR","chr7:27147589-27148389","N_Shore","HOXA3","ENST00000396352.3","3'UTR","HOXA3","ENST00000396352.3","3'UTR","chr7:27146865-27147415",3,"",NA,"",NA,"","","HOXA3","NM_153631","3'UTR"
"28","cg11474464","15",26874457,"R","GABRB3","NM_001191321","TSS200","chr15:26874097-26874528","Island","GABRB3","ENST00000400188.3","TSS1500","GABRB3","ENST00000556166.1","TSS200","chr15:26874185-26874655",3,"",NA,"",NA,"","","GABRB3","NM_001191321","TSS200"
"29","cg18224653","20",57426979,"F","GNAS","NM_080425","TSS1500","chr20:57426729-57427047","Island","GNAS-AS1","ENST00000424094.1","TSS1500","GNAS-AS1","ENST00000424094.1","TSS1500","chr20:57426225-57427395",3,"",NA,"",NA,"","","GNAS","NM_080425","TSS1500"
"30","cg07969984","7",93204350,"R","CALCR","NM_001164737","TSS1500","chr7:93204085-93204381","Island","CALCR","ENST00000421592.1","TSS1500","CALCR","ENST00000421592.1","TSS1500","chr7:93203545-93204575",3,"",NA,"",NA,"","","CALCR","NM_001164737","TSS1500"
"31","cg02890368","20",57427650,"R","GNAS","NM_080425","TSS1500","chr20:57427691-57427995","N_Shore","GNAS","ENST00000371099.2","TSS1500","GNAS","ENST00000371099.2","TSS1500","chr20:57427485-57428235",3,"",NA,"",NA,"","","GNAS","NM_080425","TSS1500"
"32","cg03264550","20",57465448,"R","GNAS","NM_001077490","3'UTR","chr20:57463652-57467739","Island","GNAS","ENST00000371095.3","TSS1500","GNAS","ENST00000461152.1","TSS1500","chr20:57464860-57467395",3,"",NA,"",NA,"high-CpG:56898700-56901058","","GNAS","NM_001077490","3'UTR"
"33","cg26062037","7",94536261,"R","PPP1R9A","NM_017650","TSS1500","chr7:94536849-94537477","N_Shore","PPP1R9A","ENST00000433881.1","TSS1500","PPP1R9A","ENST00000422324.1","TSS1500","",NA,"",NA,"chr7:94535491-94538576",6,"","","PPP1R9A","NM_017650","TSS1500"
"34","cg10115320","1",3115545,"F","PRDM16","NM_022114","Body","chr1:3111579-3111909","S_Shelf","","","","","","","chr1:3115500-3115790",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"35","cg20253172","1",3107290,"F","PRDM16","NM_022114","Body","chr1:3102540-3103352","S_Shelf","","","","","","","",NA,"chr1:3100554-3111067",6,"",NA,"","","PRDM16","NM_022114","Body"
"36","cg20897667","19",57351213,"R","MIMT1","NR_024059","TSS1500","chr19:57351283-57351995","N_Shore","PEG3","ENST00000560429.1","5'UTR","PEG3","ENST00000560264.1","3'UTR","chr19:57350125-57351855",3,"",NA,"",NA,"","chr19:57351144-57351144","MIMT1","NR_024059","TSS1500"
"37","cg01031370","14",101322071,"R","MEG3","NR_033360","Body","","","MEG3","ENST00000429159.2","5'UTR","MEG3","ENST00000429159.2","5'UTR","chr14:101321805-101322075",3,"",NA,"",NA,"","","MEG3","NR_033360","Body"
"38","cg16106804","14",101298824,"R","MEG3","NR_003531","Body","","","MEG3","ENST00000452120.2","5'UTR","MEG3","ENST00000452120.2","5'UTR","chr14:101298820-101299050",3,"",NA,"",NA,"","","MEG3","NR_003531","Body"
"39","cg00462240","1",3342013,"R","PRDM16","NM_022114","Body","chr1:3342012-3342806","Island","PRDM16","ENST00000378389.5","5'UTR","PRDM16","ENST00000378389.5","5'UTR","chr1:3341865-3342135",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"40","cg24318598","11",70034186,"F","ANO1","NM_018043","3'UTR","","","ANO1-AS1","ENST00000524987.1","3'UTR","ANO1-AS1","ENST00000524987.1","3'UTR","",NA,"",NA,"",NA,"","","ANO1","NM_018043","3'UTR"
"41","cg26053881","1",3136528,"F","PRDM16","NM_022114","Body","","","","","","","","","chr1:3136365-3136555",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"42","cg22249789","2",63284574,"R","","","","chr2:63285949-63287097","N_Shore","OTX1","ENST00000366671.3","3'UTR","OTX1","ENST00000366671.3","3'UTR","chr2:63283840-63284815",3,"",NA,"",NA,"","","OTX1","ENST00000366671.3","3'UTR"
"43","cg26034538","1",3623319,"R","TP73","NM_001126240","Body","chr1:3623318-3623521","Island","TP73","ENST00000378290.4","5'UTR","TP73","ENST00000378290.4","5'UTR","",NA,"chr1:3618358-3636512",6,"",NA,"","","TP73","NM_001126240","Body"
"44","cg17407455","8",1613919,"F","DLGAP2","NM_004745","Body","chr8:1616521-1616876","N_Shelf","","","","","","","",NA,"",NA,"",NA,"","","DLGAP2","NM_004745","Body"
"45","cg06602857","16",86542807,"F","FOXF1","NM_001451","TSS1500","chr16:86541430-86545228","Island","FOXF1","ENST00000262426.4","TSS1500","FOXF1","ENST00000262426.4","TSS1500","chr16:86541445-86544770",3,"",NA,"",NA,"","","FOXF1","NM_001451","TSS1500"
"46","cg21813101","1",6260616,"F","RPL22","NM_000983","TSS1500","chr1:6259178-6259883","S_Shore","RPL22","ENST00000480661.1","TSS1500","RPL22","ENST00000465387.1","TSS1500","chr1:6260580-6260810",3,"",NA,"",NA,"","","RPL22","NM_000983","TSS1500"
"47","cg06648455","11",69962465,"F","ANO1","NM_018043","Body","","","","","","ANO1","ENST00000529913.1","5'UTR","",NA,"",NA,"",NA,"","","ANO1","NM_018043","Body"
"48","cg05774127","7",42267200,"R","GLI3","NM_000168","5'UTR","chr7:42267546-42267823","N_Shore","GLI3","ENST00000395925.3","5'UTR","GLI3","ENST00000448703.1","5'UTR","chr7:42266965-42267550",3,"",NA,"",NA,"","","GLI3","NM_000168","5'UTR"
"49","cg18820044","10",68940232,"R","CTNNA3","NM_013266","Body","","","CTNNA3","ENST00000494580.1","TSS200","CTNNA3","ENST00000494580.1","TSS200","",NA,"",NA,"",NA,"","","CTNNA3","NM_013266","Body"
"50","cg17967071","1",3619574,"R","TP73","NM_001126240","Body","chr1:3623318-3623521","N_Shelf","TP73","ENST00000378290.4","5'UTR","TP73","ENST00000378290.4","5'UTR","",NA,"chr1:3618358-3636512",6,"chr1:3619527-3620666",6,"","","TP73","NM_001126240","Body"
"51","cg13099417","1",68516713,"R","DIRAS3","NM_004675","TSS1500","chr1:68517254-68517474","N_Shore","DIRAS3","ENST00000370981.1","5'UTR","DIRAS3","ENST00000370981.1","5'UTR","chr1:68516245-68516855",3,"",NA,"",NA,"","","DIRAS3","NM_004675","TSS1500"
"52","cg24302095","7",50861049,"F","GRB10","NM_001001555","5'UTR","chr7:50861390-50861638","N_Shore","GRB10","ENST00000403097.1","TSS1500","GRB10","ENST00000403097.1","TSS1500","chr7:50859565-50861735",3,"",NA,"",NA,"high-CpG:50828193-50828804","","GRB10","NM_001001555","5'UTR"
"53","cg11651535","6",166796759,"R","BRP44L","NM_016098","TSS1500","chr6:166795368-166797301","Island","BRP44L","ENST00000487218.1","TSS1500","BRP44L","ENST00000475708.1","TSS1500","",NA,"chr6:166795084-166797504",6,"chr6:166794596-166799029",6,"","","BRP44L","NM_016098","TSS1500"
"54","cg00815230","8",145730562,"R","GPT","NM_005309","Body","chr8:145730390-145732205","Island","","","","CTD-2517M22.14","ENST00000527086.1","5'UTR","",NA,"chr8:145721049-145756539",6,"",NA,"","","GPT","NM_005309","Body"
"55","cg18405299","7",78948064,"R","MAGI2","NM_012301","Body","","","","","","","","","",NA,"",NA,"",NA,"","","MAGI2","NM_012301","Body"
"56","cg12878382","4",1360387,"R","KIAA1530","NM_020894","Body","chr4:1364146-1364349","N_Shelf","KIAA1530","ENST00000296312.5","5'UTR","KIAA1530","ENST00000296312.5","5'UTR","chr4:1358485-1361375",3,"",NA,"",NA,"","","KIAA1530","NM_020894","Body"
"57","cg17841572","20",57426368,"R","GNAS","NM_016592","3'UTR","chr20:57426729-57427047","N_Shore","GNAS-AS1","ENST00000424094.1","TSS1500","GNAS-AS1","ENST00000424094.1","TSS1500","chr20:57426225-57427395",3,"",NA,"",NA,"","","GNAS","NM_016592","3'UTR"
"58","cg13511195","18",35104118,"F","BRUNOL4","NM_001025088","Body","chr18:35104533-35104942","N_Shore","CELF4","ENST00000361683.4","5'UTR","CELF4","ENST00000361683.4","5'UTR","",NA,"chr18:35104051-35105660",6,"chr18:35104067-35105527",3,"","","BRUNOL4","NM_001025088","Body"
"59","cg07983115","1",92949440,"F","GFI1","NM_001127216","5'UTR","chr1:92945907-92952609","Island","GFI1","ENST00000483490.1","3'UTR","GFI1","ENST00000483490.1","3'UTR","chr1:92949025-92952755",3,"",NA,"",NA,"high-CpG:92721797-92722153","","GFI1","NM_001127216","5'UTR"
"60","cg07634179","12",54393257,"R","HOXC9","NM_006897","TSS1500","chr12:54393374-54394648","N_Shore","HOXC9","ENST00000508190.1","5'UTR","HOXC9","ENST00000508190.1","5'UTR","",NA,"chr12:54393076-54395074",6,"chr12:54387113-54396007",6,"","","HOXC9","NM_006897","TSS1500"
"61","cg13086574","8",135490821,"F","ZFAT","NM_001167583","Body","chr8:135490786-135491086","Island","ZFAT","ENST00000429442.2","3'UTR","ZFAT","ENST00000429442.2","3'UTR","chr8:135490685-135490995",3,"",NA,"",NA,"","","ZFAT","NM_001167583","Body"
"62","cg09197492","11",2571399,"R","KCNQ1","NM_000218","Body","","","","","","","","","",NA,"chr11:2569954-2571439",6,"",NA,"","","KCNQ1","NM_000218","Body"
"63","cg06931179","11",131780798,"F","NTM","NM_001144058","5'UTR","chr11:131780328-131781532","Island","NTM","ENST00000425719.2","TSS1500","NTM","ENST00000463395.1","5'UTR","chr11:131780445-131781690",3,"",NA,"",NA,"","","NTM","NM_001144058","5'UTR"
"64","cg09885502","20",57463991,"R","GNAS","NM_001077490","3'UTR","chr20:57463652-57467739","Island","RP1-309F20.3","ENST00000424434.1","TSS200","GNAS","ENST00000470512.1","TSS1500","chr20:57463785-57463995",3,"",NA,"",NA,"high-CpG:56897306-56897703","","GNAS","NM_001077490","3'UTR"
"65","cg15390554","1",2986366,"R","PRDM16","NM_022114","Body","chr1:2983925-2987962","Island","RP1-163G9.1","ENST00000445317.1","TSS1500","RP1-163G9.1","ENST00000445317.1","TSS1500","chr1:2986005-2986435",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"66","cg18770284","5",20447422,"F","CDH18","NM_001291956","5'UTR","","","CDH18","ENST00000507958.1","5'UTR","CDH18","ENST00000507958.1","5'UTR","",NA,"",NA,"",NA,"","chr5:20447344-20447344","CDH18","NM_001291956","5'UTR"
"67","cg03562868","6",144329922,"F","PLAGL1","NM_006718","TSS1500","chr6:144328916-144329847","S_Shore","PLAGL1","ENST00000392309.1","TSS1500","PLAGL1","ENST00000417959.1","TSS1500","chr6:144329700-144329935",3,"",NA,"",NA,"","","PLAGL1","NM_006718","TSS1500"
"68","cg17977470","17",7758854,"F","TMEM88","NM_203411","Body","chr17:7758607-7758980","Island","","","","","","","chr17:7758760-7759030",3,"",NA,"",NA,"","","TMEM88","NM_203411","Body"
"69","cg06447122","1",3181532,"F","PRDM16","NM_022114","Body","chr1:3182821-3183216","N_Shore","PRDM16","ENST00000512462.1","5'UTR","PRDM16","ENST00000512462.1","5'UTR","chr1:3181345-3181755",3,"",NA,"",NA,"","","PRDM16","NM_022114","Body"
"70","cg16825211","12",57578667,"R","LRP1","NM_002332","Body","chr12:57579320-57579625","N_Shore","","","","","","","chr12:57578645-57578855",3,"",NA,"",NA,"low-CpG:55864885-55864971","","LRP1","NM_002332","Body"
"71","cg08101303","7",96652222,"F","DLX5","NM_005221","Body","chr7:96651963-96652246","Island","DLX5","ENST00000493764.1","3'UTR","DLX5","ENST00000493764.1","3'UTR","chr7:96651220-96652595",3,"",NA,"",NA,"","","DLX5","NM_005221","Body"
"72","cg25579157","11",2020549,"R","H19","NR_002196","TSS1500","chr11:2019565-2019863","S_Shore","H19","ENST00000428066.1","3'UTR","H19","ENST00000428066.1","3'UTR","",NA,"chr11:2007560-2024664",6,"chr11:2016330-2022967",6,"","","H19","NR_002196","TSS1500"
"73","cg24564503","20",36148264,"F","BLCAP","NM_001167821","5'UTR","chr20:36148603-36150136","N_Shore","BLCAP","ENST00000397134.1","5'UTR","BLCAP","ENST00000397134.1","5'UTR","chr20:36147865-36148315",3,"",NA,"",NA,"","","BLCAP","NM_001167821","5'UTR"
"74","cg06527124","20",30101823,"F","HM13","NM_030789","TSS1500","chr20:30102057-30102856","N_Shore","HM13","ENST00000340852.5","TSS1500","HM13","ENST00000335574.5","TSS1500","chr20:30101745-30103975",3,"",NA,"",NA,"","","HM13","NM_030789","TSS1500"
"75","cg24107424","6",160505241,"F","IGF2R","NM_000876","Body","","","IGF2R","ENST00000475834.1","TSS1500","IGF2R","ENST00000475834.1","TSS1500","",NA,"",NA,"",NA,"","","IGF2R","NM_000876","Body"
"76","cg20574550","3",125876169,"R","ALDH1L1","NM_012190","Body","","","ALDH1L1","ENST00000413612.1","TSS1500","ALDH1L1","ENST00000484724.1","3'UTR","chr3:125876085-125876235",3,"",NA,"",NA,"","","ALDH1L1","NM_012190","Body"
"77","cg05095591","3",147129184,"R","ZIC1","NM_003412","Body","chr3:147130342-147130577","N_Shore","","","","ZIC1","ENST00000472523.1","5'UTR","chr3:147129105-147129455",3,"",NA,"",NA,"","","ZIC1","NM_003412","Body"
"78","cg21755806","8",1475257,"F","DLGAP2","NM_004745","5'UTR","","","DLGAP2","ENST00000421627.2","5'UTR","DLGAP2","ENST00000421627.2","5'UTR","",NA,"",NA,"",NA,"","","DLGAP2","NM_004745","5'UTR"
"79","cg14036303","3",125876217,"F","ALDH1L1","NM_012190","Body","","","ALDH1L1","ENST00000413612.1","TSS1500","ALDH1L1","ENST00000484724.1","3'UTR","chr3:125876085-125876235",3,"",NA,"",NA,"","","ALDH1L1","NM_012190","Body"
"80","cg03033447","1",228473704,"R","OBSCN","NM_052843","Body","chr1:228473835-228474043","N_Shore","","","","","","","",NA,"chr1:228473098-228478685",6,"",NA,"","","OBSCN","NM_052843","Body"
"81","cg12570134","17",46640347,"F","HOXB3","NM_002146","5'UTR","chr17:46641534-46642110","N_Shore","HOXB3","ENST00000485909.2","5'UTR","HOXB3","ENST00000485909.2","5'UTR","",NA,"chr17:46638556-46643381",6,"chr17:46639094-46643148",6,"","","HOXB3","NM_002146","5'UTR"
"82","cg17906685","15",27666693,"F","GABRG3","NM_001270873","Body","","","RP11-100M12.2","ENST00000553919.1","TSS1500","RP11-100M12.2","ENST00000553919.1","TSS1500","",NA,"",NA,"",NA,"","","GABRG3","NM_001270873","Body"
"83","cg25934200","11",131618158,"F","NTM","NM_001048209","Body","","","","","","","","","chr11:131618120-131618795",3,"",NA,"",NA,"","","NTM","NM_001048209","Body"
"84","cg11026604","15",27020039,"R","GABRB3","NM_021912","TSS1500","chr15:27016892-27018943","S_Shore","GABRB3","ENST00000299267.4","TSS1500","GABRB3","ENST00000554722.1","TSS1500","",NA,"",NA,"",NA,"","","GABRB3","NM_021912","TSS1500"
"85","cg15924527","10",69425740,"F","CTNNA3","NM_001127384","TSS1500","","","CTNNA3","ENST00000540598.1","TSS1500","CTNNA3","ENST00000540598.1","TSS1500","",NA,"",NA,"",NA,"","","CTNNA3","NM_001127384","TSS1500"
"86","cg06147822","20",57466905,"R","GNAS","NM_001077490","3'UTR","chr20:57463652-57467739","Island","GNAS","ENST00000371095.3","1stExon","GNAS","ENST00000468942.1","TSS1500","chr20:57464860-57467395",3,"",NA,"",NA,"high-CpG:56898700-56901058","","GNAS","NM_001077490","3'UTR"
"87","cg03466198","7",50727932,"R","GRB10","NM_001001550","Body","","","GRB10","ENST00000398791.1","5'UTR","GRB10","ENST00000398791.1","5'UTR","chr7:50727820-50728470",3,"",NA,"",NA,"","","GRB10","NM_001001550","Body"
"88","cg15644742","1",2344414,"R","PEX10","NM_002617","TSS1500","chr1:2343385-2344717","Island","PEX10","ENST00000288774.3","TSS1500","PEX10","ENST00000514502.1","TSS1500","chr1:2344300-2344550",3,"",NA,"",NA,"","","PEX10","NM_002617","TSS1500"
"89","cg14077965","14",53418979,"R","FERMT2","NM_001134999","TSS1500","chr14:53417108-53418339","S_Shore","FERMT2","ENST00000399304.3","TSS1500","FERMT2","ENST00000554712.1","5'UTR","",NA,"",NA,"chr14:53416163-53419573",6,"","","FERMT2","NM_001134999","TSS1500"
"90","cg11655410","7",78870151,"R","MAGI2","NM_012301","Body","","","","","","","","","",NA,"",NA,"",NA,"","","MAGI2","NM_012301","Body"
"91","cg19571721","8",1456819,"R","DLGAP2","NM_004745","5'UTR","","","DLGAP2","ENST00000421627.2","5'UTR","DLGAP2","ENST00000421627.2","5'UTR","",NA,"chr8:1456333-1457250",4,"chr8:1456701-1457117",4,"","","DLGAP2","NM_004745","5'UTR"
"92","cg12572987","11",111957418,"F","SDHD","NM_003002","TSS200","chr11:111957352-111957681","Island","TIMM8B","ENST00000507614.1","3'UTR","TIMM8B","ENST00000507614.1","3'UTR","chr11:111957405-111957630",3,"",NA,"",NA,"high-CpG:111462627-111462735","","SDHD","NM_003002","TSS200"
"93","cg07126091","8",140617161,"F","","","","","","KCNK9","ENST00000522317.1","3'UTR","KCNK9","ENST00000522317.1","3'UTR","chr8:140616905-140617515",3,"",NA,"",NA,"","","KCNK9","ENST00000522317.1","3'UTR"
"94","cg17896573","19",34175278,"F","CHST8","NM_001127895","5'UTR","chr19:34175344-34175768","N_Shore","CHST8","ENST00000262622.3","TSS200","CHST8","ENST00000262622.3","TSS200","chr19:34175185-34175430",3,"",NA,"",NA,"","","CHST8","NM_001127895","5'UTR"
"95","cg06646682","1",1273442,"R","DVL1","NM_004421","Body","chr1:1271425-1272074","S_Shore","","","","","","","",NA,"chr1:1262288-1285556",6,"",NA,"","","DVL1","NM_004421","Body"
"96","cg02087342","17",7579047,"R","TP53","NM_001126114","Body","","","TP53","ENST00000574684.1","TSS1500","TP53","ENST00000574684.1","TSS1500","",NA,"",NA,"",NA,"","","TP53","NM_001126114","Body"
"97","cg00499521","16",3522128,"F","NAA60","NM_001083601","5'UTR","","","LA16c-306E5.2","ENST00000575785.1","5'UTR","LA16c-306E5.2","ENST00000575785.1","5'UTR","",NA,"chr16:3521511-3522215",6,"",NA,"","","NAA60","NM_001083601","5'UTR"
"98","cg26283239","8",135650340,"R","ZFAT","NR_110323","Body","","","","","","ZFAT","ENST00000523040.1","TSS1500","",NA,"",NA,"",NA,"","","ZFAT","NR_110323","Body"
"99","cg23784675","18",34837596,"R","BRUNOL4","NM_001025088","Body","chr18:34833554-34834606","S_Shelf","CELF4","ENST00000361683.4","3'UTR","CELF4","ENST00000361683.4","3'UTR","",NA,"chr18:34836740-34847652",6,"",NA,"","","BRUNOL4","NM_001025088","Body"
"100","cg13078563","15",27016796,"F","GABRB3","NM_000814","Body","chr15:27016892-27018943","N_Shore","GABRB3","ENST00000557641.1","3'UTR","GABRB3","ENST00000557641.1","3'UTR","chr15:27016645-27017310",3,"",NA,"",NA,"","","GABRB3","NM_000814","Body"
"101","cg11367354","7",96651983,"R","DLX5","NM_005221","Body","chr7:96651963-96652246","Island","DLX5","ENST00000493764.1","3'UTR","DLX5","ENST00000493764.1","3'UTR","chr7:96651220-96652595",3,"",NA,"",NA,"","","DLX5","NM_005221","Body"
"102","cg15950627","2",241075715,"F","MYEOV2","NM_138336","1stExon","chr2:241075403-241075916","Island","MYEOV2","ENST00000489698.1","TSS200","MYEOV2","ENST00000489698.1","TSS200","chr2:241075660-241076615",3,"",NA,"",NA,"high-CpG:240724373-240724424","","MYEOV2","NM_138336","1stExon"
"103","cg08878368","16",51183363,"F","SALL1","NM_002968","Body","chr16:51183699-51188763","N_Shore","AC009166.5","ENST00000570060.1","1stExon","AC009166.5","ENST00000570060.1","1stExon","chr16:51183220-51183635",3,"",NA,"",NA,"","chr16:51183106-51183106","SALL1","NM_002968","Body"
"104","cg04654530","2",63282702,"F","OTX1","NM_014562","Body","chr2:63282514-63283122","Island","","","","OTX1","ENST00000405984.4","3'UTR","chr2:63281680-63283510",3,"",NA,"",NA,"","","OTX1","NM_014562","Body"
"105","cg19271111","3",147140124,"R","","","","chr3:147138916-147139564","S_Shore","ZIC1","ENST00000474034.1","5'UTR","ZIC1","ENST00000472523.1","5'UTR","chr3:147140120-147140315",3,"",NA,"",NA,"","","ZIC1","ENST00000474034.1","5'UTR"
